Name,Quantity,avg_daily_dispensed
Acyclovir 400mg Tablet,680,34
Rocuronium Bromide Injection,150,10
Cefotaxime Sodium Powder, for Solution,90,6
Ondansetron 4mg Tablet,975,39
Duloxetine DR 60mg Capsule,1560,52
Glipizide XL 5mg Tablet,990,33
Clonazepam Tablet,1000,10
Sildenafil 100mg Tablet,700,28
Paroxetine 20mg Tablet,1260,42
Quetiapine 100mg Tablet,1290,43
Bumetanide Injection,126,9
Meloxicam 15mg Tablet,2010,67
Promethazine Hydrochloride Injection,60,12
Fluconazole 150mg Tablet,420,21
Methylphenidate Film, Extended Release,25,5
Clopidogrel 75mg Tablet,2490,83
Azithromycin 250mg Tablet,66,11
Epinephrine Bitartrate, Lidocaine Hydrochloride Injection,72,8
Trazodone 100mg Tablet,1950,65
Alprazolam 0.5mg Tablet,1050,35
Warfarin 5mg Tablet,1350,45
Metronidazole Injection,210,15
Desmopressin Acetate Spray,108,12
Prednisone 10mg Tablet,840,42
Doxycycline Hyclate 100mg Capsule,720,36
Amoxicillin Powder, For Suspension,60,20
Atenolol 25mg Tablet,1650,55
Cyclobenzaprine 10mg Tablet,1440,48
Citalopram 20mg Tablet,2070,69
Gabapentin 300mg Capsule,3650,121
Tramadol 50mg Tablet,2400,80
Lidocaine Hydrochloride Injection,48,12
Clindamycin Phosphate Injection,120,6
Potassium Chloride ER 10mEq Tablet,1110,37
Ropivacaine Hydrochloride Injection,133,7
Omeprazole DR 20mg Capsule,2910,97
Ciprofloxacin 500mg Tablet,495,31
Metoprolol Succinate XL 50mg Tablet,2610,87
Carboplatin Injection,20,5
Methylprednisolone Acetate Injection,240,12
Furosemide Injection,120,8
Dextrose Monohydrate 50% Injection,70,10
Acetaminophen-Codeine 300-30mg Tablet,600,30
Liraglutide Injection,120,4
Allopurinol 100mg Tablet,900,30
Finasteride 5mg Tablet,570,19
Atropine Sulfate Injection,16,4
Ranitidine 150mg Tablet,1020,34
Insulin Glargine 100 unit/mL Pen,210,7
Bupropion XL 300mg Tablet,1855,51
Hydrochlorothiazide 25mg Tablet,2460,82
Loratadine 10mg Tablet,810,27
Dextrose Monohydrate 70% Injection,180,6
Rifampin Injection,420,14
Ceftriaxone Injection,128,12
Fentanyl Citrate Injection,300,15
Sertraline 100mg Tablet,2485,73
Simvastatin 20mg Tablet,2850,95
Montelukast 10mg Tablet,1620,54
Bacitracin Ophthalmic Ointment,39,3
Metformin 500mg Tablet,90,15
Escitalopram 10mg Tablet,2430,81
Tamsulosin HCl 0.4mg Capsule,1248,32
Hydrocodone-Acetaminophen 5-325mg Tablet,2500,125
Zolpidem Tartrate 10mg Tablet,470,24
Oxycodone 5mg Tablet,800,40
Propranolol Hydrochloride Injection,140,10
Lisinopril 20mg Tablet,432,18
Sodium Chloride 23.4% Injection,250,5
Venlafaxine XR 75mg Capsule,1470,49
Sterile Water Irrigant,165,11
Carvedilol 12.5mg Tablet,1750,50
Dextrose Monohydrate 10% Injection,140,14
Cephalexin 500mg Capsule,87,15
Amlodipine Besylate 10mg Tablet,2786,95
Amoxicillin-Clavulanate 875-125mg Tablet,540,27
Lorazepam Injection,270,9
Valproate Sodium Injection,80,4
Dopamine Hydrochloride Injection,240,8
Bupivacaine Hydrochloride Injection,150,10
Furosemide 20mg Tablet,222,15
Ibuprofen 600mg Tablet,1380,46
Atorvastatin 20mg Tablet,2500,150
Losartan 50mg Tablet,2250,75
Triamcinolone Acetonide Injection,42,3
Fluticasone Propionate 50mcg Nasal Spray,390,13
Levothyroxine 50mcg Tablet,3000,100
Amitriptyline 25mg Tablet,930,31
Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet,120,4
Albuterol Sulfate Solution,120,15
Sulfamethoxazole-Trimethoprim 800-160mg Tablet,630,32
Lisdexamfetamine Dimesylate Capsule,300,10
Naproxen 500mg Tablet,1140,38
