Name,Quantity,avg_daily_dispensed,Flag
Acyclovir 400mg Tablet,680,34,Green
Rocuronium Bromide Injection,150,10,Green
Cefotaxime Sodium Powder, for Solution,90,6,Orange
Ondansetron 4mg Tablet,975,39,Green
Duloxetine DR 60mg Capsule,1560,52,Green
Glipizide XL 5mg Tablet,990,33,Green
Clonazepam Tablet,1000,10,Yellow
Sildenafil 100mg Tablet,700,28,Green
Paroxetine 20mg Tablet,1260,42,Green
Quetiapine 100mg Tablet,1290,43,Green
Bumetanide Injection,126,9,Green
Meloxicam 15mg Tablet,2010,67,Green
Promethazine Hydrochloride Injection,60,12,Red
Fluconazole 150mg Tablet,420,21,Green
Methylphenidate Film, Extended Release,25,5,Red
Clopidogrel 75mg Tablet,2490,83,Green
Azithromycin 250mg Tablet,66,11,Green
Epinephrine Bitrate, Lidocaine Hydrochloride Injection,72,8,Red
Trazodone 100mg Tablet,1950,65,Green
Alprazolam 0.5mg Tablet,1050,35,Green
Warfarin 5mg Tablet,1350,45,Green
Metronidazole Injection,210,15,Green
Desmopressin Acetate Spray,108,12,Red
Prednisone 10mg Tablet,840,42,Green
Doxycycline Hyclate 100mg Capsule,720,36,Green
Amoxicillin Powder, For Suspension,60,20,Red
Atenolol 25mg Tablet,1650,55,Green
Cyclobenzaprine 10mg Tablet,1440,48,Green
Citalopram 20mg Tablet,2070,69,Green
Gabapentin 300mg Capsule,3650,121,Green
Tramadol 50mg Tablet,2400,80,Green
Lidocaine Hydrochloride Injection,48,12,Red
Clindamycin Phosphate Injection,120,6,Orange
Potassium Chloride ER 10mEq Tablet,1110,37,Green
Ropivacaine Hydrochloride Injection,133,7,Green
Omeprazole DR 20mg Capsule,2910,97,Green
Ciprofloxacin 500mg Tablet,495,31,Green
Metoprolol Succinate XL 50mg Tablet,2610,87,Green
Carboplatin Injection,20,5,Red
Methylprednisolone Acetate Injection,240,12,Green
Furosemide Injection,120,8,Green
Dextrose Monohydrate 50% Injection,70,10,Red
Acetaminophen-Codeine 300-30mg Tablet,600,30,Green
Liraglutide Injection,120,4,Orange
Allopurinol 100mg Tablet,900,30,Green
Finasteride 5mg Tablet,570,19,Green
Atropine Sulfate Injection,16,4,Red
Ranitidine 150mg Tablet,1020,34,Green
Insulin Glargine 100 unit/mL Pen,210,7,Green
Bupropion XL 300mg Tablet,1855,51,Green
Hydrochlorothiazide 25mg Tablet,2460,82,Green
Loratadine 10mg Tablet,810,27,Green
Dextrose Monohydrate 70% Injection,180,6,Green
Rifampin Injection,420,14,Green
Ceftriaxone Injection,128,12,Green
Fentanyl Citrate Injection,300,15,Green
Sertraline 100mg Tablet,2485,73,Green
Simvastatin 20mg Tablet,2850,95,Green
Montelukast 10mg Tablet,1620,54,Green
Bacitracin Ophthalmic Ointment,39,3,Red
Metformin 500mg Tablet,90,15,Blue
Escitalopram 10mg Tablet,2430,81,Green
Tamsulosin HCl 0.4mg Capsule,1248,32,Green
